Código do bem;Nome do bem;Natureza;Identificação;Número patrimonial;Data aquisição;Valor para depreciação;Código da conta;Código do indice;Código do fornecedor;Empresa;Tipo da mercadoria;Data da baixa;Número da chapa;Valor original da aquisição;Quantidade;Vida útil (Meses);Funcionalidade;Código do centro de custo;Baixa conforme a depreciação diária;Código SCP;Descrição SCP;Código individualizado do bem;Tipo do lançamento;Data da primeira parcela;Data depreciação;Taxa de depreciação;Data de início do cálculo;Data de fim do cálculo;Valor de aquisição;Contabilização
1;3 COMPUTADORES DELL CELERON;0;0;;11/08/2006;2.964,40;103;1;9092;999;0;;1;2.964,40;;;;;FALSE;;;;;;11/08/2006;20,00;11/08/2006;;2.964,40;1
2;AR CONDICIONADO 21000;0;0;;13/03/2003;1.586,00;98;1;659;999;0;;2;1.586,00;;;;;FALSE;;;;;;13/03/2003;10,00;13/03/2003;;1.586,00;1
3;COMPUTADORES ADQUIRIDOS EM 2000;0;0;;03/09/2000;5.668,90;103;1;9092;999;0;;3;5.668,90;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;5.668,90;1
4;SOFTWARE ADQUIRIDO EM 2000;0;0;;03/09/2000;2.422,98;130;1;659;999;0;;4;2.422,98;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;2.422,98;1
4;SOFTWARE ADQUIRIDO EM 2000;0;0;;03/09/2000;2.422,98;130;1;659;999;0;;4;2.422,98;;;;;FALSE;;;;;;03/09/2000;20,00;03/09/2000;;2.422,98;0
5;COMPUTADOR DELL DIMENSION C521 C/ WINDOWS VISTA;0;0;;22/05/2007;1.302,17;103;1;9092;999;0;;5;1.302,17;;;;;FALSE;;;;;;22/05/2007;20,00;22/05/2007;;1.302,17;1
6;COMPUTADOR DELL DIMENSION C521 C/ WINDOWS VISTA;0;0;;22/05/2007;1.302,17;103;1;9092;999;0;;6;1.302,17;;;;;FALSE;;;;;;22/05/2007;20,00;22/05/2007;;1.302,17;1
7;COMPUTADOR OPTPLEX C/ PROCESSADOR CELERON C/ WINDOWS XP;0;0;;13/03/2007;1.140,70;103;1;9092;999;0;;7;1.140,70;;;;;FALSE;;;;;;13/03/2007;20,00;13/03/2007;;1.140,70;1
8;CPU DIMENSION C521 PROCESSADOR AMD SEMPRON 3400 1.8 GHZ;0;0;;14/12/2006;890,51;103;1;9092;999;0;;8;890,51;;;;;FALSE;;;;;;14/12/2006;20,00;14/12/2006;;890,51;1
9;SERVIDOR POWEREDGE 1900;0;0;;17/12/2007;6.741,08;103;1;9092;999;0;;9;6.741,08;;;;;FALSE;;;;;;17/12/2007;20,00;17/12/2007;;6.741,08;1
10;RELOGIO PONTO SYSTEM CB6;0;0;;21/11/2007;1.150,00;98;1;659;999;0;;10;1.150,00;;;;;FALSE;;;;;;21/11/2007;10,00;21/11/2007;;1.150,00;1
11;LICENÇA DE USO MICROSOFT OPEN WINDOWS STANDART 2003 R2 BRAZILIAN;0;0;;20/12/2007;2.254,56;130;1;9092;999;0;;11;2.254,56;;;;;FALSE;;;;;;20/12/2007;20,00;20/12/2007;;2.254,56;1
11;LICENÇA DE USO MICROSOFT OPEN WINDOWS STANDART 2003 R2 BRAZILIAN;0;0;;20/12/2007;2.254,56;130;1;9092;999;0;;11;2.254,56;;;;;FALSE;;;;;;20/12/2007;20,00;20/12/2007;;2.254,56;0
12;MONITOR LCD + IMPRESSORA LASER HP;0;0;;07/05/2008;1.596,00;103;1;2208;999;0;;12;1.596,00;;;;;FALSE;;;;;;07/05/2008;20,00;07/05/2008;;1.596,00;1
13;SOFTWARE ORY MODELO X300;0;0;;15/05/2008;764,00;130;1;659;999;0;;13;764,00;;;;;FALSE;;;;;;15/05/2008;20,00;15/05/2008;;764,00;1
13;SOFTWARE ORY MODELO X300;0;0;;15/05/2008;764,00;130;1;659;999;0;;13;764,00;;;;;FALSE;;;;;;15/05/2008;20,00;15/05/2008;;764,00;0
14;MONITOR LCD PRETO AOC;0;0;;31/07/2008;465,78;103;1;2208;999;0;;14;465,78;;;;;FALSE;;;;;;31/07/2008;20,00;31/07/2008;;465,78;1
15;REFERENTE A AQUISIÇÃO DE 20 CADEIRAS;0;0;;28/08/2009;10.221,57;99;1;659;999;0;;15;10.221,57;;;;;FALSE;;;;;;28/08/2009;10,00;28/08/2009;;10.221,57;1
16;AQUIZIÇAO DE 05 MONITOR DELL E1709W PANEL 17 POLEGADAS;0;0;;27/11/2009;1.783,50;103;1;9092;999;0;;16;1.783,50;;;;;FALSE;;;;;;27/11/2009;20,00;27/11/2009;;1.783,50;1
17;REF: AQUISIÇAO DE 01 IMPRESSORA MUL. JT. OJ. PRO 8500 HP;0;0;;22/10/2009;789,63;103;1;2208;999;0;;17;789,63;;;;;FALSE;;;;;;22/10/2009;20,00;22/10/2009;;789,63;1
18;CADEIRAS MARELLI;0;0;;18/06/2010;1.827,71;99;1;659;999;0;;18;1.827,71;;;;;FALSE;;;;;;18/06/2010;10,00;18/06/2010;;1.827,71;1
19;IMPRESSORA LS MON T654DN LEXMARK;0;0;;20/09/2010;3.705,75;103;1;659;999;0;;19;3.705,75;;;;;FALSE;;;;;;20/09/2010;20,00;20/09/2010;;3.705,75;1
20;IMPRESSORA MULT LS COL. LJ CM 1312 CC430A HP;0;0;;25/10/2010;1.309,41;103;1;659;999;0;;20;1.309,41;;;;;FALSE;;;;;;25/10/2010;20,00;25/10/2010;;1.309,41;1
21;MICROCOMPUTADOR DELL VOSTRO 230 GABINETE SLIM TOWER;0;0;;17/06/2010;992,36;103;1;9092;999;0;;21;992,36;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;992,36;1
22;MICROCOMPUTADOR DELL VOSTRO 230 GABINETE SLIM TOWER;0;0;;17/06/2010;992,36;103;1;9092;999;0;;22;992,36;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;992,36;1
23;MICROCOMPUTADOR DELL VOSTRO 230 GABINETE SLIM TOWER;0;0;;17/06/2010;992,35;103;1;9092;999;0;;23;992,35;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;992,35;1
24;MONITOR DE 17 POLEGADAS DELL E170S FLAT PANEL;0;0;;17/06/2010;504,20;103;1;9092;999;0;;24;504,20;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;504,20;1
25;MONITOR DE 17 POLEGADAS DELL E170S FLAT PANEL;0;0;;17/06/2010;504,20;103;1;9092;999;0;;25;504,20;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;504,20;1
26;MONITOR DE 17 POLEGADAS DELL E170S FLAT PANEL;0;0;;17/06/2010;504,20;103;1;9092;999;0;;26;504,20;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;504,20;1
27;MONITOR DE 17 POLEGADAS DELL E170S FLAT PANEL;0;0;;17/06/2010;504,20;103;1;9092;999;0;;27;504,20;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;504,20;1
28;SOFTWARE ORY MODELO X300;0;0;;17/06/2010;763,62;130;1;9092;999;0;;28;763,62;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;763,62;1
28;SOFTWARE ORY MODELO X300;0;0;;17/06/2010;763,62;130;1;9092;999;0;;28;763,62;;;;;FALSE;;;;;;17/06/2010;20,00;17/06/2010;;763,62;0
29;MICRO COMPUTADOR PORTATIL DELL VOSTRO 3300;0;0;;02/05/2011;1.919,31;103;1;9092;999;0;;29;1.919,31;;;;;FALSE;;;;;;02/05/2011;20,00;02/05/2011;;1.919,31;1
30;02 CADEIRAS GIRATORIA;0;0;;30/05/2011;958,17;99;1;659;999;0;;30;958,17;;;;;FALSE;;;;;;30/05/2011;10,00;30/05/2011;;958,17;1
30;02 CADEIRAS GIRATORIA;0;0;;30/05/2011;958,17;99;1;659;999;0;;30;958,17;;;;;FALSE;;;;;;30/05/2011;10,00;30/05/2011;;958,17;0
31;3 IMPRESSORAS E360DN LEXMARX;0;0;;10/06/2011;3.321,00;103;1;2208;999;0;;31;3.321,00;;;;;FALSE;;;;;;10/06/2011;20,00;10/06/2011;;3.321,00;1
33;01 IMPRESSORA LEXMARK;0;0;;08/07/2011;1.107,00;103;1;2208;999;0;;33;1.107,00;;;;;FALSE;;;;;;08/07/2011;20,00;08/07/2011;;1.107,00;1
34;MESAS / ARMARIOS;0;0;;03/10/2011;5.143,40;99;1;659;999;0;;34;5.143,40;;;;;FALSE;;;;;;03/10/2011;10,00;03/10/2011;;5.143,40;1
34;MESAS / ARMARIOS;0;0;;03/10/2011;5.143,40;99;1;659;999;0;;34;5.143,40;;;;;FALSE;;;;;;03/10/2011;10,00;03/10/2011;;5.143,40;0
35;COMPUTADOR DELL VOSTRO 260 SLIM - TOWER;0;0;;25/10/2011;1.775,79;103;1;9092;999;0;;35;1.775,79;;;;;FALSE;;;;;;25/10/2011;20,00;25/10/2011;;1.775,79;1
35;COMPUTADOR DELL VOSTRO 260 SLIM - TOWER;0;0;;25/10/2011;1.775,79;103;1;9092;999;0;;35;1.775,79;;;;;FALSE;;;;;;25/10/2011;20,00;25/10/2011;;1.775,79;0
36;MONITOR DE 19 COMPUTADOR DELL VOSTRO 260 SLIM - TOWERPOLEGADAS;0;0;;25/10/2011;1.775,79;103;1;9092;999;0;;36;1.775,79;;;;;FALSE;;;;;;25/10/2011;20,00;25/10/2011;;1.775,79;1
37;3 CADEIRAS GIRATORIAS;0;0;;05/12/2011;1.166,63;99;1;659;999;0;;37;1.166,63;;;;;FALSE;;;;;;05/12/2011;10,00;05/12/2011;;1.166,63;1
37;3 CADEIRAS GIRATORIAS;0;0;;05/12/2011;1.166,63;99;1;659;999;0;;37;1.166,63;;;;;FALSE;;;;;;05/12/2011;10,00;05/12/2011;;1.166,63;0
38;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;38;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;1
38;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;38;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;0
39;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;39;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;1
39;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;39;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;0
40;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;40;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;1
40;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;40;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;0
41;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;41;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;1
41;REF: MICROCOMPUTADOR DELL VOSTRO 260 SLIM-TOWER + MONITOR DELL E1912H COM 18,5 POLEGADA TELA PLANA;0;0;;28/03/2012;1.430,58;103;1;9092;999;0;;41;1.430,58;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.430,58;0
42;REF: SOFTWARE WINDOWS 7 PROFISSIONAL 64 BIT + ANTIVIRUS LICENCA DE 36 MESES;0;0;;28/03/2012;1.176,60;130;1;9092;999;0;;42;1.176,60;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.176,60;1
42;REF: SOFTWARE WINDOWS 7 PROFISSIONAL 64 BIT + ANTIVIRUS LICENCA DE 36 MESES;0;0;;28/03/2012;1.176,60;130;1;9092;999;0;;42;1.176,60;;;;;FALSE;;;;;;28/03/2012;20,00;28/03/2012;;1.176,60;0
43;REF: 25 MESAS C/ ESTRUTURA METALICA;0;0;;23/03/2012;10.022,76;99;1;659;999;0;;43;10.022,76;;;;;FALSE;;;;;;23/03/2012;10,00;23/03/2012;;10.022,76;1
43;REF: 25 MESAS C/ ESTRUTURA METALICA;0;0;;23/03/2012;10.022,76;99;1;659;999;0;;43;10.022,76;;;;;FALSE;;;;;;23/03/2012;10,00;23/03/2012;;10.022,76;0
44;REF: 07 CADEIRAS ERME BAIXA GIRAT BASE PT;0;0;;20/04/2012;4.760,00;99;1;659;999;0;;44;4.760,00;;;;;FALSE;;;;;;20/04/2012;10,00;20/04/2012;;4.760,00;1
44;REF: 07 CADEIRAS ERME BAIXA GIRAT BASE PT;0;0;;20/04/2012;4.760,00;99;1;659;999;0;;44;4.760,00;;;;;FALSE;;;;;;20/04/2012;10,00;20/04/2012;;4.760,00;0
45;REF: COMPUTADORES DELL VOSTRO 230 GABINETE SLIM TOWER + MONITORES DELL FLAT PANEL DISPLAY DE 19 PO;0;0;;29/04/2011;1.754,20;103;1;9092;999;0;;45;1.754,20;;;;;FALSE;;;;;;29/04/2011;20,00;29/04/2011;;1.754,20;1
46;REF: COMPUTADORES DELL VOSTRO 230 GABINETE SLIM TOWER + MONITORES DELL FLAT PANEL DISPLAY DE 19 PO;0;0;;29/04/2011;1.754,20;103;1;9092;999;0;;46;1.754,20;;;;;FALSE;;;;;;29/04/2011;20,00;29/04/2011;;1.754,20;1
48;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;48;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;1
48;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;48;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;0
49;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;49;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;1
49;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;49;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;0
50;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;50;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;1
50;REF: MESA RETA 1400X600 BORDA RETA CINZA CRISTAL;0;0;;21/09/2012;328,02;99;1;659;999;0;;50;328,02;;;;;FALSE;;;;;;21/09/2012;10,00;21/09/2012;;328,02;0
